source,source_type,title,description,url,published,deadline,amount,sectors,relevance_score,discovered,is_new
ReliefWeb - Tanzania Updates,aggregator,Head of Implementation Support Services,"<div class=""tag country"">Country: Fiji</div>
                                      <div class=""tag source"">Organization: Pacific Community</div>
                                                                      <div class=""date closing"">Closing date: 22 Feb 2026</div>
                                        <h2><strong>Description</strong></h2>
<p>The <strong>Pacific Community</strong> (SPC) is the principal scientific and technical organisation in the Pacific region, supporting development ",https://reliefweb.int/job/4195322/head-implementation-support-services,"Fri, 23 Jan 2026 01:05:47 +0000",,"usd 6,731","['education', 'health', 'agriculture', 'governance', 'climate']",9,2026-01-23 12:09,True
ReliefWeb - Tanzania Updates,aggregator,Asia Regional Human Resources Coordinator (Asia RHRC),"<div class=""tag country"">Country: Thailand</div>
                                      <div class=""tag source"">Organization: Mennonite Central Committee</div>
                                                                      <div class=""date closing"">Closing date: 1 Feb 2026</div>
                                        <p><strong>Asia Regional Human Resources Coordinator (Asia RHRC)</strong></p>
<p>Applications due: 01 Feb, 2026Applications due: 01 Feb, 2026</p>
<p><strong>Job Synopsis</str",https://reliefweb.int/job/4195235/asia-regional-human-resources-coordinator-asia-rhrc,"Fri, 23 Jan 2026 00:55:43 +0000",,$350,"['education', 'health', 'governance', 'climate']",5,2026-01-23 12:09,True
ReliefWeb - Tanzania Updates,aggregator,Senior Youth Advocacy Specialist,"<div class=""tag country"">Country: United States of America</div>
                                      <div class=""tag source"">Organization: International Rescue Committee</div>
                                                                                        <div class=""date closing"">Closing date: 21 Feb 2026</div>
                                        <p><strong>Job Overview:</strong> The Senior Youth Advocacy Specialist is responsible for delivering youth services under the Elevate Yo",https://reliefweb.int/job/4195256/senior-youth-advocacy-specialist,"Fri, 23 Jan 2026 01:03:29 +0000",,$26,"['education', 'health', 'governance', 'climate']",5,2026-01-23 12:09,True
ReliefWeb - Tanzania Updates,aggregator,Programme Finance Assistant,"<div class=""tag country"">Country: Philippines</div>
                                      <div class=""tag source"">Organization: International Organization for Migration</div>
                                                                      <div class=""date closing"">Closing date: 5 Feb 2026</div>
                                        <p><strong>Job description:</strong></p>
<p><strong>Position Title: Programme Finance Assistant</strong></p>
<p><strong>Reference Code: DR 001/2026</strong></",https://reliefweb.int/job/4195324/programme-finance-assistant,"Fri, 23 Jan 2026 01:05:54 +0000",,,"['education', 'health']",5,2026-01-23 12:09,True
ReliefWeb - Tanzania Updates,aggregator,HR Assistant,"<div class=""tag country"">Country: Philippines</div>
                                      <div class=""tag source"">Organization: International Organization for Migration</div>
                                                                      <div class=""date closing"">Closing date: 5 Feb 2026</div>
                                        <p><strong>Job description:</strong></p>
<p><strong>Position Title: HR Assistant</strong></p>
<p><strong>Reference Code: VN 003/2026</strong></p>
<p><strong>J",https://reliefweb.int/job/4195328/hr-assistant,"Fri, 23 Jan 2026 01:06:00 +0000",,,"['education', 'health', 'governance']",5,2026-01-23 12:09,True
WHO Africa,UN,Public Health Situation Analysis in the Central African Republic – December 2025,"<span>Publications</span>

            <div class=""field field--name-field-cover field--type-image field--label-hidden field--item"">  <img alt=""Public Health Situation Analysis (PHSA)"" class=""img-responsive"" height=""499"" src=""https://www.afro.who.int/sites/default/files/2025-12/Public%20Health%20Situation%20Analysis%20%28PHSA%29_0.png"" width=""390"" />

</div>
      
<span><span>ifonor@who.int</span></span>

<span><time datetime=""2025-12-24T11:21:36+01:00"" title=""Wednesday, 24 December, 2025 - 11:",https://www.afro.who.int/countries/central-african-republic/publication/public-health-situation-analysis-central-african-republic-december-2025,"Wed, 24 Dec 2025 10:21:36 +0000",,,"['health', 'climate']",5,2026-01-23 12:09,True
Alliance for a Green Revolution in Africa (AGRA),foundation,"As Global Leaders Gather in Davos, AGRA Launches its 20th anniversary reflection and makes the case for African Agriculture as the Next Big Investment Opportunity","DAVOS, Switzerland, January 21, 2026: As global leaders and investors gather in the Swiss Alps for the World Economic Forum, one question dominates the agenda: where will the next decade of growth come from? AGRA arrives in Davos to launch a year-long reflection on twenty years of AGRA and Africa’s agri-food sector, with a clear [&#8230;]",https://agra.org/news/as-global-leaders-gather-in-davos-agra-launches-its-20th-anniversary-reflection-and-makes-the-case-for-african-agriculture-as-the-next-big-investment-opportunity/?utm_source=rss&utm_medium=rss&utm_campaign=as-global-leaders-gather-in-davos-agra-launches-its-20th-anniversary-reflection-and-makes-the-case-for-african-agriculture-as-the-next-big-investment-opportunity,"Thu, 22 Jan 2026 07:29:15 +0000","january 21, 2026",,['agriculture'],5,2026-01-23 12:10,True
ReliefWeb - Tanzania Updates,aggregator,Judicial Consultant,"<div class=""tag source"">Organization: Basel Institute on Governance</div>
                                                                                        <div class=""date closing"">Closing date: 15 Feb 2026</div>
                                        <h2>Judicial Consultant – Zanzibar</h2>
<h3>About the Basel Institute on Governance</h3>
<p>The Basel Institute on Governance is a hands-on centre of competence dedicated to promoting good governance and countering corruption for a more pea",https://reliefweb.int/job/4195233/judicial-consultant,"Fri, 23 Jan 2026 00:54:33 +0000",,,"['education', 'governance']",5,2026-01-23 12:09,True
ReliefWeb - Tanzania Updates,aggregator,"Project Officer (P3) Antananarivo, Madagascar","<div class=""tag country"">Country: Madagascar</div>
                                      <div class=""tag source"">Organization: International Organization for Migration</div>
                                                                                        <div class=""date closing"">Closing date: 5 Feb 2026</div>
                                        <p>Job Identification (Reference Number): <strong>18468</strong><br />
Position Title: <strong>Project Officer (P)</strong><br />
Duty Statio",https://reliefweb.int/job/4195492/project-officer-p3-antananarivo-madagascar,"Fri, 23 Jan 2026 06:35:35 +0000",,,"['education', 'health', 'governance', 'climate']",4,2026-01-23 12:09,True
ReliefWeb - Tanzania Updates,aggregator,German Red Cross Roster opening for various clinical health professions,"<div class=""tag source"">Organization: German Red Cross</div>
                                                                                        <div class=""date closing"">Closing date: 15 Feb 2026</div>
                                        <p><strong>The German Red Cross (GRC) provides essential humanitarian support worldwide for people affected by crisis situations. Should the need for urgent deployments of delegates arise due to disasters or crises, GRC utilises its humanitarian surge r",https://reliefweb.int/job/4195234/german-red-cross-roster-opening-various-clinical-health-professions,"Fri, 23 Jan 2026 00:55:14 +0000",,,"['education', 'health']",3,2026-01-23 12:09,True
ReliefWeb - Tanzania Updates,aggregator,Field Programs Director - LAC,"<div class=""tag country"">Country: United States of America</div>
                                      <div class=""tag source"">Organization: Global Emergency Group</div>
                                                                      <div class=""date closing"">Closing date: 6 Feb 2026</div>
                                        <p><strong>Location:</strong> Washington D.C. - Hybrid Telework</p>
<p><strong>Full-time position:</strong></p>
<p><strong>Compensation</strong>: $120,000 - $155,0",https://reliefweb.int/job/4195237/field-programs-director-lac,"Fri, 23 Jan 2026 00:56:52 +0000",,"$120,000","['education', 'water', 'climate']",3,2026-01-23 12:09,True
ReliefWeb - Tanzania Updates,aggregator,Strategic Planning Consultant,"<div class=""tag country"">Country: Kenya</div>
                                      <div class=""tag source"">Organization: International Organization for Migration</div>
                                                                                        <div class=""date closing"">Closing date: 28 Jan 2026</div>
                                        <p><strong>Project Context and Scope</strong></p>
<p>As part of IOM’s Migration Management mandate, the Community Stabilization Unit (CSU) contri",https://reliefweb.int/job/4195336/strategic-planning-consultant,"Fri, 23 Jan 2026 01:06:35 +0000",,,"['education', 'governance', 'climate']",3,2026-01-23 12:09,True
ReliefWeb - Tanzania Updates,aggregator,Information Management Coordinator - Deduplication Platform,"<div class=""tag country"">Country: Yemen</div>
                                      <div class=""tag source"">Organization: Danish Refugee Council</div>
                                                                      <div class=""date closing"">Closing date: 3 Feb 2026</div>
                                        <p><strong>Who are we?</strong></p>
<p>The Danish Refugee Council assists refugees and internally displaced persons across the globe: we provide emergency aid, fight for their rights",https://reliefweb.int/job/4195255/information-management-coordinator-deduplication-platform,"Fri, 23 Jan 2026 01:01:01 +0000",,,"['education', 'health', 'water', 'governance', 'climate']",3,2026-01-23 12:09,True
Global Fund Updates,foundation,African Ambassadors Unite in Geneva to Call for Strong Global Fund Replenishment,"African Ambassadors and Permanent Representatives of the Africa Group met yesterday at the Global Health Campus in Geneva, calling on the international community to rally behind the Global Fund’s Eighth Replenishment.",https://www.theglobalfund.org/en/updates/2025/2025-09-11-african-ambassadors-unite-geneva-call-strong-global-fund-replenishment/,"Thu, 11 Sep 2025 12:00:00 GMT",,,['health'],3,2026-01-23 12:10,True
WHO Africa,UN,"The Future of Health Service Delivery in the African Region: Proceedings from the Health Policy Laboratories on Primary Care, Hospitals, and Health Oversight in Africa","<span>Publications</span>

            <div class=""field field--name-field-cover field--type-image field--label-hidden field--item"">  <img alt="" The Future of Health Service Delivery in the African Region Health Policy Laboratories Report."" class=""img-responsive"" height=""267"" src=""https://www.afro.who.int/sites/default/files/2026-01/The%20Future%20of%20Health%20Service%20Delivery%20in%20the%20African%20Region%20Health%20Policy%20Laboratories%20Report.png"" width=""390"" />

</div>
      
<span><spa",https://www.afro.who.int/countries/south-sudan/publication/future-health-service-delivery-african-region-proceedings-health-policy-laboratories-primary-care,"Fri, 09 Jan 2026 09:11:28 +0000",,,"['health', 'governance']",3,2026-01-23 12:09,True
ReliefWeb - Tanzania Updates,aggregator,Deputy Country Director for Programs – Sudan – various locations,"<div class=""tag country"">Country: Sudan</div>
                                      <div class=""tag source"">Organization: Première Urgence Internationale</div>
                                                                      <div class=""date closing"">Closing date: 31 Mar 2026</div>
                                        <p>Fixed-term contract : 6 months from <strong>16/03/2026</strong></p>
<p><strong>PUI all around the world</strong></p>
<p><strong>With its 40 years of experience, Première",https://reliefweb.int/job/4195253/deputy-country-director-programs-sudan-various-locations,"Fri, 23 Jan 2026 01:00:19 +0000",,,"['education', 'health', 'governance']",3,2026-01-23 12:09,True
UNESCO,UN,NEWS: Pakistani UNEVOC Centre calls for a reskilling revolution,"During the World Economic Forum Annual Meeting in Davos, Prof Dr Muhammad Mukhtar, Vice Chancellor of the National Skills University, Islamabad, urged TVET stakeholders to refine skills education policies and procedures within their countries to better align with the realities and requirements of the contemporary world.",https://www.technologytimes.pk/2020/01/27/prof-dr-muhammad-mukhtar-recognizes-reskilling-revolution-davos-2020/,"Wed, 11 Mar 2020 15:17:04 +0100",,,['education'],2,2026-01-23 12:09,True
UNESCO,UN,NEWS: First UNESCO-UNEVOC Global OER Grant Programme,"In November 2019, UNESCO Member States adopted a Recommendation on Open Educational Resources (OER)-  a key tool for the achievement of SDG4. As a follow-up to this recommendation, UNESCO-UNEVOC launched its First Global OER Grant Programme for the development of such resources for TVET on 3 December 2019.",https://unevoc.unesco.org/article/First+UNESCO-UNEVOC+Global+OER+Grant+Programme.html,"Wed, 04 Dec 2019 16:01:21 +0100",,,['education'],2,2026-01-23 12:09,True
WHO Africa,UN,South Sudan: Knowledge Management Series for Health 2026,"<span>Publications</span>

            <div class=""field field--name-field-cover field--type-image field--label-hidden field--item"">  <img alt=""South Sudan: Knowledge Management Series for Health 2026"" class=""img-responsive"" height=""115"" src=""https://www.afro.who.int/sites/default/files/2026-01/Profile%20.png"" width=""390"" />

</div>
      
<span><span>atema@who.int</span></span>

<span><time datetime=""2026-01-21T09:33:15+01:00"" title=""Wednesday, 21 January, 2026 - 09:33"">Wed, 21/01/2026 - 09:33<",https://www.afro.who.int/countries/south-sudan/publication/south-sudan-knowledge-management-series-health-2026,"Wed, 21 Jan 2026 08:33:15 +0000",,,['health'],2,2026-01-23 12:09,True
Global Fund Updates,foundation,The End-term Evaluation of the Global Fund’s COVID-19 Response Mechanism and its Contribution to the Strengthening of Sustainable Health Systems and Pandemic Preparedness,The Evaluation and Learning Office of the Global Fund is launching the request for proposals (RFP) for the end-term evaluation of the Global Fund’s COVID-19 Response Mechanism (C19RM) and its contribution to the strengthening of sustainable health systems and pandemic preparedness.,https://www.theglobalfund.org/en/updates/2025/2025-08-04-end-term-evaluation-covid-19-response-mechanism/,"Mon, 04 Aug 2025 12:00:00 GMT",,,"['education', 'health']",2,2026-01-23 12:10,True
Alliance for a Green Revolution in Africa (AGRA),foundation,AGRA Calls for a Farmer-First Climate Breakthrough at COP30 – with youth voices at the Center,"BELEM, BRAZIL — November 10th, 2025: As the UN Climate Conference (COP30) also knows as the “implementation COP” and the &#8220;COP of Truth&#8221; opens in Belém, AGRA is calling for a decisive shift from talk to action with ambition and urgency, urging a farmer-first breakthrough that puts soils, youth, and food systems at the center [&#8230;]",https://agra.org/news/agra-calls-for-a-farmer-first-climate-breakthrough-at-cop30-with-youth-voices-at-the-center/?utm_source=rss&utm_medium=rss&utm_campaign=agra-calls-for-a-farmer-first-climate-breakthrough-at-cop30-with-youth-voices-at-the-center,"Sun, 09 Nov 2025 17:02:45 +0000",,,"['agriculture', 'food_security', 'climate']",2,2026-01-23 12:10,True
